,equity
2020-08-26,137433.12977202897
2020-08-27,136221.30890353685
2020-08-28,136458.077125392
2020-08-31,137618.06403239732
2020-09-01,138555.47767474398
2020-09-02,140463.2037985538
2020-09-03,133589.57220675691
2020-09-04,131247.63612677797
2020-09-08,127098.23473860964
2020-09-09,130557.48805834993
2020-09-10,128741.56439425691
2020-09-11,128101.94940402254
2020-09-14,130295.66181685671
2020-09-15,132071.12179400667
2020-09-16,130596.61048915132
2020-09-17,129369.84867217287
2020-09-18,128742.52167632326
2020-09-21,129186.60364749178
2020-09-22,130491.17698600038
2020-09-23,127552.993261597
2020-09-24,127818.28234126314
2020-09-25,130174.14828326448
2020-09-28,132334.74783828005
2020-09-29,132525.7167389606
2020-09-30,133360.98928572878
2020-10-01,135011.85061628802
2020-10-02,132750.2088192223
2020-10-05,136261.31608088
2020-10-06,134601.29854090197
2020-10-07,137633.68455965503
2020-10-08,137638.79616053088
2020-10-09,139543.315123391
2020-10-12,141307.22296411975
2020-10-13,142295.98147947772
2020-10-14,141604.2411087273
2020-10-15,141496.77262480243
2020-10-16,141408.88078196032
2020-10-19,139717.72090322955
2020-10-20,140057.70837385638
2020-10-21,138266.10500700457
2020-10-22,138564.11669714435
2020-10-23,140100.09989244922
2020-10-26,137832.03801615222
2020-10-27,137877.19007284625
2020-10-28,133972.63353998645
2020-10-29,135181.09550840838
2020-10-30,132003.12395746692
2020-11-02,133048.6507684393
2020-11-03,135762.56577984523
2020-11-04,140039.59367291164
2020-11-05,144279.64779488277
2020-11-06,145045.69898430537
2020-11-09,139594.20244137477
2020-11-10,136920.58452717494
2020-11-11,140271.03080956172
2020-11-12,139627.52177445125
2020-11-13,140214.95584599208
2020-11-16,141036.8997728033
2020-11-17,141287.51603333186
2020-11-18,140354.9059325857
2020-11-19,142124.9593021078
2020-11-20,142144.61065308284
2020-11-23,143151.04819313716
2020-11-24,142600.08778397273
2020-11-25,144012.58029667567
2020-11-27,146112.01118103694
2020-11-30,147588.19960324
2020-12-01,148970.7155736325
2020-12-02,147863.53900846222
2020-12-03,148542.74664052704
2020-12-04,150203.13570150116
2020-12-07,150903.1325143216
2020-12-08,151929.20749219635
2020-12-09,148630.9732640622
2020-12-10,149817.91087278107
2020-12-11,149155.53038152435
2020-12-14,150232.0492242215
2020-12-15,152415.2733395932
2020-12-16,153222.77769597748
2020-12-17,154980.12380918243
2020-12-18,156038.21081289032
2020-12-21,155803.83762677887
2020-12-22,157136.60790189484
2020-12-23,156374.7748177884
2020-12-24,156405.3299020169
2020-12-28,155045.07189115265
2020-12-29,154054.34484990814
2020-12-30,155291.09054502228
2020-12-31,155592.67263349274
2021-01-04,153786.20941814996
2021-01-05,155818.9199417553
2021-01-06,156899.26501926995
2021-01-07,161492.57603153802
2021-01-08,162556.50048908807
2021-01-11,162100.92666134454
2021-01-12,163121.4528110943
2021-01-13,162657.9840687237
2021-01-14,162795.8489464245
2021-01-15,161137.70122799493
2021-01-19,163067.06693729974
2021-01-20,165592.9650600872
2021-01-21,165697.0270374737
2021-01-22,165453.24500927544
2021-01-25,165538.26158413506
2021-01-26,163266.49901661492
2021-01-27,157639.3494804821
2021-01-28,160075.32952198602
2021-01-29,157856.74329647637
