,equity
2012-07-30,149723.86159518952
2012-07-31,148496.0251288771
2012-08-01,147038.83429955738
2012-08-02,146913.95109557407
2012-08-03,149218.8863758971
2012-08-06,149161.7002630164
2012-08-07,150106.0545024802
2012-08-08,150555.5641951491
2012-08-09,150192.38543080585
2012-08-10,150002.27953814762
2012-08-13,149941.26435660617
2012-08-14,150679.79829835193
2012-08-15,151255.97213553684
2012-08-16,152609.71465396183
2012-08-17,153710.4299721648
2012-08-20,152838.82623004215
2012-08-21,152414.24538611667
2012-08-22,153027.9639043738
2012-08-23,152143.7737531592
2012-08-24,153022.335644715
2012-08-27,152738.03185700672
2012-08-28,152647.73769425647
2012-08-29,152801.78859709995
2012-08-30,151767.84003447788
2012-08-31,152652.50716351764
2012-09-04,153297.00281756063
2012-09-05,152920.49693148275
2012-09-06,156108.0638965859
2012-09-07,156060.99068586965
2012-09-10,155012.9036468758
2012-09-11,155009.38957922597
2012-09-12,155296.5217479958
2012-09-13,157976.61450235982
2012-09-14,158840.73158114095
2012-09-17,158032.9848989739
2012-09-18,157493.09832804342
2012-09-19,158645.85362665792
2012-09-20,158701.60012285848
2012-09-21,159076.6074480309
2012-09-24,158333.7536653771
2012-09-25,156800.38900511403
2012-09-26,155297.4579452767
2012-09-27,157343.55596010824
2012-09-28,156613.76563875814
2012-10-01,156614.24910545017
2012-10-02,156985.07438087132
2012-10-03,158862.1364173856
2012-10-04,159846.18998813297
2012-10-05,160108.67125224735
2012-10-08,158990.09647941258
2012-10-09,156441.71922015812
2012-10-10,155380.6506242719
2012-10-11,154898.093749043
2012-10-12,154361.49026107456
2012-10-15,156685.51463794376
2012-10-16,158434.34863090183
2012-10-17,159905.59463596012
2012-10-18,159418.5378513303
2012-10-19,157103.76975249912
2012-10-22,157435.61413287785
2012-10-23,155795.9818754163
2012-10-24,156439.99260043766
2012-10-25,156465.2600173917
2012-10-26,156516.03707599308
2012-10-31,156991.65197658207
2012-11-01,159123.71086223447
2012-11-02,157591.39628799283
2012-11-05,158602.0070420059
2012-11-06,159507.93873603665
2012-11-07,157242.62902744138
2012-11-08,155510.9526625427
2012-11-09,155055.35506446683
2012-11-12,155191.76658637845
2012-11-13,155342.2217779907
2012-11-14,152327.50590808713
2012-11-15,151504.06509216153
2012-11-16,153702.0184298309
2012-11-19,156797.3913098129
2012-11-20,158260.4042645248
2012-11-21,158658.31047256314
2012-11-23,160543.28784759366
2012-11-26,160073.00425060117
2012-11-27,159497.45271308743
2012-11-28,159993.29348571622
2012-11-29,160991.0485955032
2012-11-30,160994.60135372006
2012-12-03,160211.66188307002
2012-12-04,160218.5850655575
2012-12-05,160126.0390374203
2012-12-06,160523.36473627284
2012-12-07,160979.3120553036
2012-12-10,161115.61166830256
2012-12-11,162016.57058496668
2012-12-12,162428.14916486933
