date,n_eligible,n_selected,n_orders,turnover_dollars,leverage_multiplier,equity_at_open
2014-05-01,436,50,63,152206.2370859934,1.0,242767.27302852244
2014-06-02,440,50,65,159443.11180487645,1.0,250825.66968919453
2014-07-01,443,50,60,132985.67572279554,1.0,259898.26398842048
2014-08-01,443,50,63,138782.381655834,1.0,254838.03395365222
2014-09-02,443,50,64,189122.49618511493,1.0,270353.26951430505
2014-10-01,444,50,62,164571.43372110155,1.0,265947.8595669798
2014-11-03,443,50,58,155602.01754577123,1.0,269089.2289848075
2014-12-01,443,50,62,186119.02934463482,1.0,279756.25660508784
2015-01-02,444,50,63,183716.51286973053,1.0,281602.5399050872
2015-02-02,445,50,68,212789.29670254784,1.0,285692.4543203707
2015-03-02,445,50,62,187469.19603420727,1.0,299575.19125531364
2015-04-01,447,50,65,235374.7133245559,1.0,306993.35418395133
2015-05-01,448,50,59,140276.56306287213,1.0,296928.8483449801
2015-06-01,448,50,58,160273.35756978113,1.0,315002.9393034065
2015-07-01,447,50,60,170738.24346616495,1.0,315207.2176995713
2015-08-03,448,50,60,140162.70385074636,1.0,322052.4972639337
2015-09-01,448,50,58,151299.84693393784,1.0,307971.8737786005
2015-10-01,450,50,58,140532.37146716073,1.0,302073.6850432268
2015-11-02,450,50,65,201043.24518692534,1.0,316337.91096748196
2015-12-01,449,50,64,215108.91835127946,1.0,323549.78216187586
2016-01-04,450,50,57,156661.2014020503,1.0,319139.36082383187
2016-02-01,449,50,62,170544.52367947047,1.0,297837.98767163954
2016-03-01,450,50,71,262131.88590300138,1.0,292457.7700840104
2016-04-01,453,50,59,188455.48682005916,1.0,314040.1359234482
2016-05-02,452,50,60,191217.7642032744,1.0,308539.37266537006
2016-06-01,450,50,59,160203.4285248179,1.0,320332.98135931283
2016-07-01,451,50,61,191547.78187223896,1.0,332211.6807555377
2016-08-01,453,50,62,213486.8530555078,1.0,343031.7647600903
2016-09-01,453,50,67,243886.45134390297,1.0,333277.05437359854
2016-10-03,456,50,65,239142.46589676416,1.0,331619.8835772281
2016-11-01,457,50,62,198029.47090861134,1.0,322227.5793561592
2016-12-01,457,50,66,234914.66293262487,1.0,332279.7295690932
2017-01-03,457,50,68,275918.6611847876,1.0,332965.6497142345
2017-02-01,457,50,70,310327.7425471635,1.0,346175.04281299957
2017-03-01,458,50,61,200411.19225750136,1.0,358668.440299663
2017-04-03,458,50,58,180259.47767292973,1.0,357234.2119811167
2017-05-01,458,50,68,262869.59752183803,1.0,357514.53037187585
2017-06-01,459,50,61,188423.69571851508,1.0,368221.18544843164
2017-07-03,458,50,59,175934.56167561217,1.0,364480.2601931511
2017-08-01,459,50,64,248867.56411193608,1.0,372512.91808930034
2017-09-01,460,50,65,227539.14377240223,1.0,374287.1997207997
2017-10-02,460,50,59,198468.65909147938,1.0,388036.03343488765
2017-11-01,463,50,67,328940.22176504566,1.0,405796.249780538
2017-12-01,464,50,67,309511.50641727936,1.0,415591.81918509415
2018-01-02,464,50,60,223495.03220265618,1.0,414148.9250007155
2018-02-01,465,50,59,225072.28341757963,1.0,447285.3798188355
2018-03-01,466,50,61,220728.70861390035,1.0,436524.38639272493
2018-04-02,466,50,63,258990.013600276,1.0,438965.3355315729
2018-05-01,466,50,57,213850.10616133022,1.0,440544.72257719445
2018-06-01,467,50,59,247401.08558272693,1.0,479239.80131010996
2018-07-02,469,50,58,223578.11097929528,1.0,471745.53675751376
2018-08-01,469,50,59,205933.48447027462,1.0,476332.53196534177
2018-09-04,467,50,59,303991.2958533106,1.0,521913.10801813524
2018-10-01,467,50,62,342880.1860471388,1.0,524553.2865364307
2018-11-01,468,50,62,282458.24517992715,1.0,460266.8685752412
2018-12-03,467,50,65,320560.6040370278,1.0,455115.96004218014
