date,n_eligible,n_selected,n_orders,turnover_dollars,leverage_multiplier,equity_at_open
2020-01-06,7,7,7,1262.5028490347254,0.5,136112.04715382546
2020-01-13,7,7,7,4899.256938201464,0.5,145463.91713698747
2020-01-20,7,7,7,5300.105226603298,0.5,154149.11347515284
2020-01-27,7,7,7,1427.5713414382942,0.5,153190.20661272368
2020-02-03,7,7,7,4831.014684066641,0.5,162431.24201485614
2020-02-10,7,7,7,5933.822134423455,0.5,173372.77830457443
2020-02-17,7,7,7,7496.463154290301,0.5,178431.1996763758
2020-02-24,7,7,7,3354.7906198499704,0.5,178491.5860292371
2020-03-02,7,7,7,8124.335254445257,0.5,163067.48743266313
2020-03-09,7,7,7,4520.6180798259975,0.5,158017.79153883792
2020-03-16,7,7,7,14396.315455056665,0.5,129767.54396998351
2020-03-23,7,7,7,3641.946345283597,0.5,131625.673645401
2020-03-30,7,7,7,2060.216786010248,0.5,134656.40907942705
2020-04-06,7,7,7,3846.447533908441,0.5,141634.16006924352
2020-04-13,7,7,7,6452.807166076475,0.5,149183.6142768927
2020-04-20,7,7,7,2678.506532826651,0.5,152028.9987405345
2020-04-27,7,7,7,2119.478421570369,0.5,155905.30129616198
2020-05-04,7,7,7,3880.881060650356,0.5,161495.9857059322
2020-05-11,7,7,7,4487.378456701844,0.5,155712.27686453197
2020-05-18,7,7,7,2282.049307591406,0.5,159145.17700609294
2020-05-25,7,7,7,2199.2458954076315,0.5,156260.62026858996
2020-06-01,7,7,7,5389.990648375287,0.5,165661.5698304623
2020-06-08,7,7,7,3091.693070496815,0.5,170272.75777457535
2020-06-15,7,7,7,2450.3829018803317,0.5,165603.76051157239
2020-06-22,7,7,7,1825.616138786637,0.5,164948.16113452503
2020-06-29,7,7,7,3397.0063559450673,0.5,162833.14659932774
2020-07-06,7,7,7,1263.9271935871216,0.5,163788.87500961692
2020-07-13,7,7,7,7753.572803474544,0.5,173550.011663247
2020-07-20,7,7,7,2752.035973272236,0.5,173484.58328132558
2020-07-27,8,7,8,31928.742837115147,0.5,181944.29455508903
2020-08-03,8,7,8,113361.86808772871,1.0,195879.36429294746
2020-08-10,8,7,7,42045.08453201694,1.0,232485.17507823423
2020-08-17,8,7,7,20002.653810691038,1.0,266802.1220538327
2020-08-24,9,7,8,75866.67326914794,1.0,245797.7633739227
2020-08-31,9,7,7,82435.63947827152,1.0,317135.47114475514
2020-09-07,9,7,8,80286.18939143352,1.0,251561.37693557373
2020-09-14,9,7,9,157103.40640903378,1.0,267135.2613442876
2020-09-21,10,7,8,90075.3367113172,1.0,257407.49170334183
