,equity
2023-12-16,237573.9060289787
2023-12-17,230893.67320738145
2023-12-18,232589.62454053422
2023-12-19,230176.24537252847
2023-12-20,239153.12971347134
2023-12-21,254792.1689961667
2023-12-22,255275.58346224186
2023-12-23,262506.06890876754
2023-12-24,268034.88042040373
2023-12-25,275615.4448029531
2023-12-26,268102.14873836125
2023-12-27,265307.34306603717
2023-12-28,262520.1038245753
2023-12-29,261241.44827494025
2023-12-30,258202.3542928609
2023-12-31,255712.50628793033
2024-01-01,264651.5871808727
2024-01-02,262119.55857935446
2024-01-03,245462.08724062992
2024-01-04,251081.11959662545
2024-01-05,244075.89397890086
2024-01-06,237237.18953620223
2024-01-07,232723.09815673178
2024-01-08,245187.3795790266
2024-01-09,241877.413431278
2024-01-10,257512.17743121492
2024-01-11,261277.41098709
2024-01-12,245332.5259637872
2024-01-13,249330.54442811117
2024-01-14,242813.03209565728
2024-01-15,245925.5516266329
2024-01-16,248703.2630647983
2024-01-17,247204.19367851882
2024-01-18,238816.884628772
2024-01-19,237899.60539040586
2024-01-20,238598.9506277896
2024-01-21,236843.51055713702
2024-01-22,228029.6436815884
2024-01-23,224006.64941692015
2024-01-24,228322.52472439455
2024-01-25,225797.0378144266
2024-01-26,229512.3535157091
2024-01-27,229541.87279827043
2024-01-28,228045.2282353464
2024-01-29,231478.1207118935
2024-01-30,232495.53223493148
2024-01-31,229448.91568663387
2024-02-01,235110.81636469212
2024-02-02,236481.81677034637
2024-02-03,237242.48507880906
2024-02-04,236195.5040075406
2024-02-05,237675.58410093107
2024-02-06,237890.9077050582
2024-02-07,241312.14430053264
2024-02-08,242270.59732522516
2024-02-09,246344.95374090882
2024-02-10,248418.58031468332
2024-02-11,255328.32428375562
2024-02-12,260290.7454080684
2024-02-13,256338.65373440573
2024-02-14,265314.1888743348
2024-02-15,261778.41053338395
2024-02-16,259920.90118696936
2024-02-17,257449.1068748266
2024-02-18,260390.02047831757
2024-02-19,259425.2673459631
2024-02-20,257249.06711922257
2024-02-21,252583.09994857525
2024-02-22,249323.05535587
2024-02-23,265201.06728882034
2024-02-24,269311.2030274887
2024-02-25,270888.78428983205
2024-02-26,275259.36494579876
2024-02-27,279744.7214452992
2024-02-28,287171.4441736366
2024-02-29,286326.2527373048
2024-03-01,295231.22058103245
2024-03-02,305865.2365385244
2024-03-03,305630.6732949426
2024-03-04,316897.31090977637
2024-03-05,295952.0013928328
2024-03-06,317037.3547621899
2024-03-07,318928.5125728925
2024-03-08,322860.44344144885
2024-03-09,325627.0853853686
2024-03-10,319611.8762366625
2024-03-11,329557.4611293371
2024-03-12,321972.62431952334
2024-03-13,331468.70939891285
2024-03-14,329097.81227925856
2024-03-15,312486.1366235647
2024-03-16,293206.26028162247
2024-03-17,312257.8482106766
2024-03-18,302643.4593717247
2024-03-19,271073.6124008589
2024-03-20,301256.9140139717
2024-03-21,304057.9945616456
2024-03-22,297212.8260312221
2024-03-23,301891.7653957146
2024-03-24,316496.0710953141
2024-03-25,323654.01064290444
2024-03-26,323775.9715421845
2024-03-27,327286.998526556
2024-03-28,344717.0006657793
2024-03-29,347314.78586590313
2024-03-30,341635.96167625464
2024-03-31,361908.74236244726
2024-04-01,346063.5513498967
2024-04-02,336699.4155087104
2024-04-03,328938.8744031775
2024-04-04,337329.44649461616
2024-04-05,329092.4754350848
2024-04-06,339226.0609141262
2024-04-07,341649.787637368
2024-04-08,345173.698404563
2024-04-09,329043.78377923416
2024-04-10,328661.243821348
2024-04-11,326051.19289207784
2024-04-12,294006.90636009164
2024-04-13,270894.34457901004
2024-04-14,286438.0377512537
2024-04-15,281847.1040123488
2024-04-16,282322.35592343495
2024-04-17,274460.7068922248
2024-04-18,277850.0106389518
2024-04-19,277905.93031553016
2024-04-20,288317.22370927315
2024-04-21,284223.54368313623
2024-04-22,287445.7119968449
2024-04-23,285956.6353434131
2024-04-24,278063.38938773685
2024-04-25,278454.17912678653
2024-04-26,279231.3471046037
2024-04-27,279729.2939972382
2024-04-28,280008.51963668474
2024-04-29,276434.2475756466
2024-04-30,266035.22704248637
2024-05-01,267081.60662462324
2024-05-02,268903.97645219543
2024-05-03,277134.5814227571
2024-05-04,276446.10254923033
2024-05-05,277680.6088893233
2024-05-06,273654.5909424224
2024-05-07,269269.87016151333
2024-05-08,266777.52060713846
2024-05-09,271392.5152427145
2024-05-10,262514.679177823
2024-05-11,261961.25714301353
2024-05-12,261209.89458444752
2024-05-13,261843.84534219836
2024-05-14,257777.66926953537
2024-05-15,271341.76478656475
2024-05-16,269533.69490312954
2024-05-17,277150.94418601407
2024-05-18,278170.0534662556
2024-05-19,273514.29050371633
2024-05-20,297307.30479546054
2024-05-21,296358.5453212259
2024-05-22,290903.4807849939
2024-05-23,286520.9759306974
2024-05-24,291667.5147628452
2024-05-25,299367.76590513083
2024-05-26,295272.75959580333
2024-05-27,300963.74589205347
2024-05-28,297970.5213921522
2024-05-29,292999.26005182636
2024-05-30,291281.6832348782
2024-05-31,289616.7605129718
2024-06-01,290253.77538901556
2024-06-02,285950.37743139244
2024-06-03,284875.44696499524
2024-06-04,297080.01705832954
2024-06-05,297623.2934525233
2024-06-06,292103.7665221456
2024-06-07,280947.8472331306
2024-06-08,278326.7507507458
2024-06-09,279856.06758520653
2024-06-10,278606.0670751701
2024-06-11,265304.233423861
2024-06-12,274467.455635603
2024-06-13,266736.2077620458
2024-06-14,265810.3089020737
2024-06-15,272745.31175128394
2024-06-16,275721.98590646824
2024-06-17,269791.8065615986
2024-06-18,261740.57771970486
2024-06-19,266080.33191228815
2024-06-20,264712.6012818469
2024-06-21,262124.76274513965
2024-06-22,262068.82102039023
2024-06-23,258938.82484702457
2024-06-24,251781.98682948976
2024-06-25,257216.09956825993
2024-06-26,256727.2573807328
2024-06-27,262013.3367149624
2024-06-28,256984.65943268046
2024-06-29,256619.1288354223
2024-06-30,261776.08887479012
2024-07-01,262169.8938557424
2024-07-02,258831.28750037914
2024-07-03,247369.8311878029
2024-07-04,234179.99013391763
2024-07-05,233341.46306513707
2024-07-06,241554.44878238326
2024-07-07,229355.73269258093
2024-07-08,233693.68437414907
2024-07-09,238119.0211281756
2024-07-10,238373.22131021158
2024-07-11,237199.13206873852
2024-07-12,243551.81348028884
2024-07-13,252442.25104164562
2024-07-14,256708.02350703903
2024-07-15,264327.7864843249
2024-07-16,265656.0996116595
2024-07-17,264401.9660193702
2024-07-18,258753.66260760333
2024-07-19,264769.21029499295
2024-07-20,266076.0424266144
2024-07-21,270553.2860482675
2024-07-22,263104.56769485096
2024-07-23,259582.9449294068
2024-07-24,256245.9671219375
2024-07-25,252926.28871780884
2024-07-26,259637.93471732264
2024-07-27,259787.12219112102
2024-07-28,257684.10917000583
2024-07-29,259802.77490026696
2024-07-30,258957.42300881792
2024-07-31,254892.4353306981
2024-08-01,255238.59315138173
