,equity
2019-08-18,184536.28298791338
2019-08-19,188201.10301804118
2019-08-20,183366.35824042687
2019-08-21,175501.13112308207
2019-08-22,177648.14642458432
2019-08-23,181052.37586021196
2019-08-24,177390.23315780467
2019-08-25,174845.07489290801
2019-08-26,177315.67115464067
2019-08-27,176671.30399228295
2019-08-28,165367.950200799
2019-08-29,160306.18593072338
2019-08-30,161134.9316297082
2019-08-31,161727.36878842599
2019-09-01,161999.04806280212
2019-09-02,166888.58437519762
2019-09-03,169298.6788857343
2019-09-04,166145.47322173612
2019-09-05,164590.6156975244
2019-09-06,159971.313789945
2019-09-07,166037.93121079227
2019-09-08,168418.7903195893
2019-09-09,168782.09593168623
2019-09-10,168107.68072965325
2019-09-11,166004.86254651975
2019-09-12,165582.34586474515
2019-09-13,163524.7251940635
2019-09-14,166126.89205147393
2019-09-15,167487.39665861888
2019-09-16,168092.205023598
2019-09-17,175552.32929304012
2019-09-18,183404.52540775476
2019-09-19,185398.6523575384
2019-09-20,182612.7367263644
2019-09-21,181245.12297414232
2019-09-22,177479.66879643602
2019-09-23,170343.22733518976
2019-09-24,147783.79608674863
2019-09-25,150486.20088586563
2019-09-26,145982.90960817225
2019-09-27,148278.15898556155
2019-09-28,148276.60952033606
2019-09-29,146046.25663866676
2019-09-30,151695.0570438132
2019-10-01,151622.12784009814
2019-10-02,154602.67902353048
2019-10-03,151532.05651069208
2019-10-04,152939.565846515
2019-10-05,152430.76883025694
2019-10-06,153726.24819542325
2019-10-07,161707.19013199164
2019-10-08,163252.84583779424
2019-10-09,173468.1310902931
2019-10-10,169169.40774896817
2019-10-11,166085.8800254729
2019-10-12,164611.75023504003
2019-10-13,163960.5237176545
2019-10-14,167530.8769367242
2019-10-15,162428.66012148123
2019-10-16,159236.63143175867
2019-10-17,162600.37146050204
2019-10-18,159096.11533491343
2019-10-19,159529.98940870303
2019-10-20,162977.76314633302
2019-10-21,165329.8541879374
2019-10-22,163016.17687429025
2019-10-23,154153.60259390378
2019-10-24,156494.00240142265
2019-10-25,173696.32030221337
2019-10-26,172665.01453436285
2019-10-27,176437.92351515396
2019-10-28,174902.78099911852
2019-10-29,180123.13099217304
2019-10-30,177522.1768030471
2019-10-31,178795.834292875
2019-11-01,177309.84022727702
2019-11-02,178465.13296356468
2019-11-03,177540.49834529485
2019-11-04,181285.3203237604
2019-11-05,183003.51332504256
2019-11-06,187426.75116542773
2019-11-07,186156.6553806362
2019-11-08,181646.66709918223
2019-11-09,183126.94114960043
2019-11-10,186831.52804923547
2019-11-11,182676.49623834997
2019-11-12,183628.75553894948
2019-11-13,185254.66656868544
2019-11-14,183324.15320025664
2019-11-15,177411.91660792645
2019-11-16,179278.31526110834
2019-11-17,181242.35534221344
2019-11-18,174552.83396931968
2019-11-19,170557.38516219828
2019-11-20,168058.1327610212
2019-11-21,157502.66007842758
2019-11-22,148930.24512035746
2019-11-23,153265.7861361062
2019-11-24,142657.5732902797
2019-11-25,145996.98698924045
2019-11-26,147749.35108972507
2019-11-27,150947.31564978024
2019-11-28,149996.7517456547
2019-11-29,154095.85831669482
2019-11-30,150633.08673539254
2019-12-01,147865.60480823086
2019-12-02,147292.25494148384
2019-12-03,146338.38307248492
2019-12-04,142538.9061818226
2019-12-05,144756.3499240446
2019-12-06,145854.36276709265
2019-12-07,145548.0756819622
2019-12-08,146476.34988805116
2019-12-09,144481.1982968631
2019-12-10,145539.99879208396
2019-12-11,142865.30983102278
2019-12-12,142693.2193896344
2019-12-13,143501.07424413966
2019-12-14,141178.87855142914
2019-12-15,141551.780221586
2019-12-16,134019.60590584914
2019-12-17,122536.1917430018
2019-12-18,132711.69322890142
2019-12-19,130929.41140932633
2019-12-20,132844.868929912
2019-12-21,131922.5339136231
2019-12-22,136443.0710209456
2019-12-23,133861.59636229122
2019-12-24,133694.23426072823
2019-12-25,132572.5624144879
2019-12-26,132720.7451043753
2019-12-27,133801.2158967411
2019-12-28,134525.1664776465
2019-12-29,136231.29779516222
2019-12-30,135024.5986736938
2019-12-31,133530.25390947948
2020-01-01,134055.05396650732
2020-01-02,131932.3032473515
2020-01-03,135309.30930764365
2020-01-04,136127.61343464686
2020-01-05,136112.04715382546
2020-01-06,140779.69592537155
2020-01-07,141952.07568322215
2020-01-08,141869.53655928263
2020-01-09,140644.6728325056
2020-01-10,144231.6142290938
2020-01-11,144031.43911475598
2020-01-12,145463.91713698747
2020-01-13,144345.8892465538
2020-01-14,154280.2271405449
2020-01-15,153775.06626621852
2020-01-16,153041.83829305202
2020-01-17,157225.46275822044
2020-01-18,156694.35374991246
2020-01-19,154149.11347515284
2020-01-20,153873.20080452244
2020-01-21,154297.47976437883
2020-01-22,154019.41368515257
2020-01-23,150798.0590284231
2020-01-24,150576.54465092972
2020-01-25,149612.62322143477
2020-01-26,153190.20661272368
2020-01-27,154914.33798929356
2020-01-28,158098.9317072493
2020-01-29,158136.46053175823
2020-01-30,162302.13963221418
2020-01-31,160554.59179695198
2020-02-01,161839.98374788428
2020-02-02,162431.24201485614
2020-02-03,162413.0111820411
2020-02-04,162252.27063472223
2020-02-05,167557.91578415222
2020-02-06,168517.39940781076
2020-02-07,170963.51687553572
2020-02-08,171737.28310253986
2020-02-09,173372.77830457443
2020-02-10,171536.872269757
2020-02-11,175531.75748916017
2020-02-12,180028.62816496074
2020-02-13,180517.85637379845
2020-02-14,184724.17459751497
2020-02-15,178649.720423539
2020-02-16,178431.1996763758
2020-02-17,176633.99516611855
2020-02-18,180360.79011832742
2020-02-19,175603.30912574564
2020-02-20,174405.34095819428
2020-02-21,175677.27111406438
2020-02-22,175249.11719973863
2020-02-23,178491.5860292371
2020-02-24,174639.39881250254
2020-02-25,169429.22259139648
2020-02-26,163525.70897981222
2020-02-27,165475.62650117316
2020-02-28,165637.455596008
2020-02-29,164074.5522758262
2020-03-01,163067.48743266313
2020-03-02,167443.57077890393
2020-03-03,166932.27517649776
2020-03-04,166690.9936861876
2020-03-05,168838.45556719508
2020-03-06,171156.7224457903
2020-03-07,168687.98005830258
2020-03-08,158017.79153883792
2020-03-09,157390.88918497044
2020-03-10,157345.5516644724
2020-03-11,155202.87237189987
2020-03-12,124987.90990441412
2020-03-13,132302.85337021653
2020-03-14,128580.42716792795
2020-03-15,129767.54396998351
2020-03-16,124193.13848266375
